cell,feature,time,int
cell10_03,nucl,105,1658.034
cell10_03,nucl,106,1663.751
cell10_03,nucl,107,1649.273
cell10_03,nucl,108,1655.995
cell10_03,nucl,109,1662.267
cell10_03,nucl,110,1607.85
cell10_03,nucl,111,1647.595
cell10_03,nucl,112,1649.606
cell10_03,nucl,113,1692.583
cell10_03,nucl,114,1650.159
cell10_03,nucl,115,1658.294
cell10_03,nucl,116,1681.726
cell10_03,nucl,117,1650.4
cell10_03,nucl,118,1673.508
cell10_03,nucl,119,1668.875
cell10_03,nucl,120,1653.756
cell10_03,nucl,121,1678.072
cell10_03,nucl,122,1663.555
cell10_03,nucl,123,1661.748
cell10_03,nucl,124,1633.35
cell10_03,nucl,125,1642.574
cell10_03,nucl,126,1662.969
cell10_03,nucl,127,1646.683
cell10_03,nucl,128,1640.905
cell10_03,nucl,129,1656.506
cell10_03,nucl,130,1675.104
cell10_03,nucl,131,1636.909
cell10_03,nucl,132,1657.334
cell10_03,nucl,133,1636.615
cell10_03,nucl,134,1679.414
cell10_03,nucl,135,1645.151
cell10_03,nucl,136,1635.726
cell10_03,nucl,137,1612.58
cell10_03,nucl,138,1662.873
cell10_03,nucl,139,1643.207
cell10_03,nucl,140,1640.117
cell10_03,nucl,141,1679.298
cell10_03,nucl,142,1649.868
cell10_03,nucl,143,1659.933
cell10_03,nucl,144,1625.654
cell10_03,nucl,145,1653.924
cell10_03,nucl,146,1653.255
cell10_03,nucl,147,1637.258
cell10_03,nucl,148,1632.401
cell10_03,nucl,149,1644.27
cell10_03,nucl,150,1658.543
cell10_03,nucl,151,1677.726
cell10_03,nucl,152,1640.141
cell10_03,nucl,153,1667.877
cell10_03,nucl,154,1626.113
cell10_03,nucl,155,1667.926
cell10_03,nucl,156,1658.703
cell10_03,nucl,157,1643.851
cell10_03,nucl,158,1648.126
cell10_03,nucl,159,1656.573
cell10_03,nucl,160,1669.389
cell10_03,nucl,161,1637.792
cell10_03,nucl,162,1636.486
cell10_03,nucl,163,1629.743
cell10_03,nucl,164,1645.124
cell10_03,nucl,165,1626.507
cell10_03,nucl,166,1634.631
cell10_03,nucl,167,1626.219
cell10_03,nucl,168,1644.215
cell10_03,nucl,169,1637.24
cell10_03,nucl,170,1614.755
cell10_03,nucl,171,1660.2
cell10_03,nucl,172,1627.558
cell10_03,nucl,173,1646.071
cell10_03,nucl,174,1653.109
cell10_03,nucl,175,1637.394
cell10_03,nucl,176,1651.941
cell10_03,nucl,177,1623.941
cell10_03,nucl,178,1626.235
cell10_03,nucl,179,1623.671
cell10_03,nucl,180,1656.823
