ID,power,ch,frame,time,mask,mask_region,mean,delta,rel
cell4_02_2_2022,3,fp,21,40.0,up,1,541.313,-0.04722536794381997,0.010439268992916844
cell4_02_2_2022,3,fp,21,40.0,up,2,387.025,0.011445055163315548,0.05292516883530804
cell4_02_2_2022,3,fp,21,40.0,up,3,664.502,0.05994805711866622,0.02213496334606562
cell4_02_2_2022,3,fp,21,40.0,up,4,557.147,0.03731138760484906,0.09719000163392046
cell4_02_2_2022,3,fp,21,40.0,up,5,459.96,0.0022102837460473887,0.04394869670284238
cell4_02_2_2022,3,fp,22,42.0,up,1,685.816,0.20711693060806077,0.013168824492085672
cell4_02_2_2022,3,fp,22,42.0,up,2,398.007,0.04014524144534787,0.05419162971532242
cell4_02_2_2022,3,fp,22,42.0,up,3,623.436,-0.005556376146598686,0.02067722007096824
cell4_02_2_2022,3,fp,22,42.0,up,4,585.735,0.09053730096137326,0.10173519709030096
cell4_02_2_2022,3,fp,22,42.0,up,5,480.734,0.04747490770147914,0.04573490044870742
cell4_02_2_2022,3,fp,23,44.0,up,1,545.413,-0.040008885074518184,0.01044633360950894
cell4_02_2_2022,3,fp,23,44.0,up,2,383.029,0.0010019715371089976,0.052020287621219484
cell4_02_2_2022,3,fp,23,44.0,up,3,599.299,-0.04405733815224097,0.019826361792561698
cell4_02_2_2022,3,fp,23,44.0,up,4,561.243,0.04493743143821703,0.09723445808199431
cell4_02_2_2022,3,fp,23,44.0,up,5,461.234,0.004986211873476872,0.04376876538331827
cell4_02_2_2022,3,fp,24,46.0,up,1,647.909,0.14039614618693352,0.012242843758210387
cell4_02_2_2022,3,fp,24,46.0,up,2,415.98,0.08711559730466002,0.05573681042827797
cell4_02_2_2022,3,fp,24,46.0,up,3,697.71,0.1129181837410041,0.022772163746718775
cell4_02_2_2022,3,fp,24,46.0,up,4,553.627,0.03075775618554829,0.094627140389173
cell4_02_2_2022,3,fp,24,46.0,up,5,461.693,0.005986330406043702,0.04322407444552217
cell4_02_2_2022,3,fp,25,48.0,up,1,565.657,-0.00437706087789749,0.01096798119611828
cell4_02_2_2022,3,fp,25,48.0,up,2,396.203,0.03543069618466794,0.05447455077214738
cell4_02_2_2022,3,fp,25,48.0,up,3,610.903,-0.025547781740364033,0.020460060011702513
cell4_02_2_2022,3,fp,25,48.0,up,4,593.526,0.10504279595789898,0.10409825754946428
cell4_02_2_2022,3,fp,25,48.0,up,5,472.741,0.03005890022695494,0.04541515476761115
cell4_02_2_2022,3,fp,26,50.0,up,1,634.025,0.11595867102659559,0.012034287794953224
cell4_02_2_2022,3,fp,26,50.0,up,2,394.846,0.03188433370199475,0.05314271602351433
cell4_02_2_2022,3,fp,26,50.0,up,3,610.275,-0.026549505406915176,0.020007851241849145
cell4_02_2_2022,3,fp,26,50.0,up,4,578.626,0.07730157205233684,0.09934420011055886
cell4_02_2_2022,3,fp,26,50.0,up,5,466.414,0.016272952611376977,0.04386210024607072
cell4_02_2_2022,3,fp,27,52.0,up,1,672.566,0.18379537011580513,0.013158801576219145
cell4_02_2_2022,3,fp,27,52.0,up,2,382.08,-0.0014781301549005599,0.05300764727427644
cell4_02_2_2022,3,fp,27,52.0,up,3,596.205,-0.04899258182152276,0.020148279888499182
cell4_02_2_2022,3,fp,27,52.0,up,4,585.216,0.08957101269244797,0.10356874284735486
cell4_02_2_2022,3,fp,27,52.0,up,5,446.317,-0.027516550981205628,0.043264207967952426
cell4_02_2_2022,3,fp,28,54.0,up,1,630.443,0.10965392916370806,0.0120679537868075
cell4_02_2_2022,3,fp,28,54.0,up,2,399.339,0.043626269320750054,0.05420392781453346
cell4_02_2_2022,3,fp,28,54.0,up,3,552.615,-0.11852305096955044,0.01827136186434471
cell4_02_2_2022,3,fp,28,54.0,up,4,570.342,0.06187819629168739,0.09875369063245394
cell4_02_2_2022,3,fp,28,54.0,up,5,476.555,0.038369253349416564,0.045196462700644674
cell4_02_2_2022,3,fp,29,56.0,up,1,621.368,0.09368086037372932,0.011819140454157058
cell4_02_2_2022,3,fp,29,56.0,up,2,401.755,0.049940205767425506,0.054187639520178604
cell4_02_2_2022,3,fp,29,56.0,up,3,712.789,0.13697071744788883,0.02341850174182369
cell4_02_2_2022,3,fp,29,56.0,up,4,580.096,0.08003845790073799,0.09980847478298199
cell4_02_2_2022,3,fp,29,56.0,up,5,483.383,0.053246833611652375,0.04555463296861472
cell4_02_2_2022,3,fp,30,58.0,up,1,548.749,-0.034137132183788735,0.010475130109227987
cell4_02_2_2022,3,fp,30,58.0,up,2,417.047,0.08990407834298898,0.0564510724047561
cell4_02_2_2022,3,fp,30,58.0,up,3,645.86,0.030212177195346034,0.021295340718407618
cell4_02_2_2022,3,fp,30,58.0,up,4,588.012,0.0947766812857332,0.10153180906116721
cell4_02_2_2022,3,fp,30,58.0,up,5,449.157,-0.021328453742665864,0.042480242349172116
cell7_02_2_2022,3,ca,1,0.0,master,1,715.922,0.014371354205778338,1
cell7_02_2_2022,3,ca,2,2.0,master,1,713.062,0.010319094220712172,1
cell7_02_2_2022,3,ca,3,4.0,master,1,706.183,0.0005724171447436043,1
cell7_02_2_2022,3,ca,4,6.0,master,1,698.03,-0.010979357560936247,1
cell7_02_2_2022,3,ca,5,8.0,master,1,695.698,-0.014283508010297865,1
cell7_02_2_2022,3,ca,6,10.0,master,1,684.551,-0.030077403833211176,1
cell7_02_2_2022,3,ca,7,12.0,master,1,678.487,-0.03866932850084804,1
cell7_02_2_2022,3,ca,8,14.0,master,1,1209.612,0.7138679388307105,1
cell7_02_2_2022,3,ca,9,16.0,master,1,1265.451,0.7929847728538254,1
cell7_02_2_2022,3,ca,10,18.0,master,1,1209.342,0.7134853828181345,1
cell7_02_2_2022,3,ca,11,20.0,master,1,1151.595,0.6316651529728144,1
cell7_02_2_2022,3,ca,12,22.0,master,1,1119.345,0.5859709625817714,1
cell7_02_2_2022,3,ca,13,24.0,master,1,1082.099,0.5331980690839483,1
cell7_02_2_2022,3,ca,14,26.0,master,1,1881.598,1.6659875116715006,1
cell7_02_2_2022,3,ca,15,28.0,master,1,1719.499,1.4363136335878512,1
cell7_02_2_2022,3,ca,16,30.0,master,1,1625.758,1.3034944366437653,1
cell7_02_2_2022,3,ca,17,32.0,master,1,1554.9,1.2030975702025706,1
cell7_02_2_2022,3,ca,18,34.0,master,1,1485.832,1.105236908437344,1
cell7_02_2_2022,3,ca,19,36.0,master,1,2076.767,1.9425174169251278,1
cell7_02_2_2022,3,ca,20,38.0,master,1,1876.945,1.6593947963881044,1
cell7_02_2_2022,3,ca,21,40.0,master,1,1774.426,1.514138278412931,1
cell7_02_2_2022,3,ca,22,42.0,master,1,1696.879,1.4042639409786914,1
cell7_02_2_2022,3,ca,23,44.0,master,1,1639.58,1.323078470739424,1
cell7_02_2_2022,3,ca,24,46.0,master,1,1576.19,1.2332628202312623,1
cell7_02_2_2022,3,ca,25,48.0,master,1,1538.834,1.1803340705801675,1
cell7_02_2_2022,3,ca,26,50.0,master,1,1495.559,1.1190188430089305,1
cell7_02_2_2022,3,ca,27,52.0,master,1,1455.189,1.0618196347581892,1
cell7_02_2_2022,3,ca,28,54.0,master,1,1423.817,1.017369459845079,1
cell7_02_2_2022,3,ca,29,56.0,master,1,1389.308,0.968474550815482,1
cell7_02_2_2022,3,ca,30,58.0,master,1,1348.597,0.910792188489598,1
cell7_02_2_2022,3,fp,1,0.0,master,1,877.326,-0.0044511843763497625,1
cell7_02_2_2022,3,fp,2,2.0,master,1,880.626,-0.000706497576280005,1
cell7_02_2_2022,3,fp,3,4.0,master,1,879.735,-0.0017175630122988114,1
cell7_02_2_2022,3,fp,4,6.0,master,1,877.854,-0.003852034488338571,1
cell7_02_2_2022,3,fp,5,8.0,master,1,890.702,0.010727279453266505,1
cell7_02_2_2022,3,fp,6,10.0,master,1,891.042,0.01111309566903131,1
cell7_02_2_2022,3,fp,7,12.0,master,1,889.984,0.00991252638585742,1
cell7_02_2_2022,3,fp,8,14.0,master,1,891.918,0.01210713980141345,1
cell7_02_2_2022,3,fp,9,16.0,master,1,891.02,0.011088131090364122,1
cell7_02_2_2022,3,fp,10,18.0,master,1,893.796,0.014238207016725953,1
cell7_02_2_2022,3,fp,11,20.0,master,1,896.878,0.017735517537275994,1
cell7_02_2_2022,3,fp,12,22.0,master,1,905.317,0.027311702963272656,1
cell7_02_2_2022,3,fp,13,24.0,master,1,901.836,0.023361625765986903,1
cell7_02_2_2022,3,fp,14,26.0,master,1,886.134,0.005543725119109284,1
cell7_02_2_2022,3,fp,15,28.0,master,1,901.273,0.02272275950282349,1
cell7_02_2_2022,3,fp,16,30.0,master,1,897.735,0.01870800135171833,1
cell7_02_2_2022,3,fp,17,32.0,master,1,895.066,0.01567934405796492,1
cell7_02_2_2022,3,fp,18,34.0,master,1,896.976,0.017846723387702258,1
cell7_02_2_2022,3,fp,19,36.0,master,1,888.397,0.008111672461096588,1
cell7_02_2_2022,3,fp,20,38.0,master,1,889.058,0.008861744574686267,1
cell7_02_2_2022,3,fp,21,40.0,master,1,889.128,0.008941177324990834,1
cell7_02_2_2022,3,fp,22,42.0,master,1,885.97,0.005357625532681587,1
cell7_02_2_2022,3,fp,23,44.0,master,1,894.242,0.014744307111523169,1
cell7_02_2_2022,3,fp,24,46.0,master,1,898.337,0.0193911230043371,1
cell7_02_2_2022,3,fp,25,48.0,master,1,900.872,0.022267723318936145,1
cell7_02_2_2022,3,fp,26,50.0,master,1,905.135,0.02710517781248091,1
cell7_02_2_2022,3,fp,27,52.0,master,1,903.414,0.025152266908565712,1
cell7_02_2_2022,3,fp,28,54.0,master,1,904.981,0.02693042576181099,1
cell7_02_2_2022,3,fp,29,56.0,master,1,907.964,0.03031539567835901,1
cell7_02_2_2022,3,fp,30,58.0,master,1,908.393,0.030802204962368056,1
cell7_02_2_2022,3,fp,1,0.0,down,1,110.878,-0.003863154490243477,1.811263850813847
cell7_02_2_2022,3,fp,2,2.0,down,1,110.956,-0.0031623962338737377,1.8057391249624186
cell7_02_2_2022,3,fp,3,4.0,down,1,111.581,0.002452653897293832,1.8177550820925106
cell7_02_2_2022,3,fp,4,6.0,down,1,111.516,0.0018686886836524253,1.820591138730202
