NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,
[-],[s],[pA],[s],[pA],[s],[pA],[s],[pA],[fC],
213,52.72020,21.56,52.72440,-35.78,52.73400,12.97,0.04380,57.34,441.05,
214,52.76040,28.70,52.76820,-34.53,52.77510,17.97,0.02490,63.23,464.55,
215,52.78380,-12.55,52.79310,-44.38,52.80090,13.59,0.26670,31.82,0.00,
216,53.05440,22.86,53.05980,-35.78,53.07150,13.44,1.36470,58.65,546.34,
217,54.42090,50.83,54.42450,-16.72,54.43110,35.00,0.44970,67.55,386.14,
218,54.86910,22.19,54.87420,-41.56,54.88590,22.81,0.00000,63.75,405.75,
219,55.24980,16.20,54.87420,-41.56,55.26450,12.50,0.45870,57.76,408.34,
220,55.32930,25.05,55.33290,-32.50,55.34850,10.78,0.00000,57.55,533.09,
221,55.49790,-2.60,55.33290,-32.50,55.51470,8.75,0.60240,29.90,335.02,
222,55.93260,22.03,55.93530,-39.22,55.94730,20.63,0.28950,61.25,407.02,
223,56.21790,21.46,56.22480,-32.50,56.23620,17.66,0.46470,53.96,416.05,
224,56.67990,26.82,56.68950,-44.84,56.70510,11.41,0.53700,71.67,889.95,
225,57.22050,16.41,57.22650,-62.03,57.23250,2.66,0.09090,78.44,545.95,
226,57.31320,27.97,57.31740,-62.19,57.33480,7.50,0.06420,90.16,921.56,
227,57.37590,24.90,57.38160,-30.62,57.38970,17.34,0.09690,55.52,420.41,
228,57.47580,22.45,57.47850,-49.38,57.49470,10.00,0.16620,71.82,626.37,
229,57.63540,26.30,57.64470,-46.56,57.65310,8.28,0.01980,72.86,647.20,
230,57.66090,30.42,57.66450,-43.75,57.67590,13.28,0.12930,74.17,673.97,
231,57.78420,-7.92,57.79380,-40.78,57.80100,20.47,0.11250,32.86,0.00,
232,57.90060,1.88,57.90630,-80.16,57.92010,-11.88,0.17400,82.03,1008.84,
233,58.07700,10.36,58.08030,-37.81,58.08990,18.91,0.02580,48.18,188.37,
234,58.10070,16.77,58.10610,-37.19,58.11630,17.81,0.98730,53.96,366.27,
235,59.09040,25.10,59.09340,-53.59,59.10300,18.75,0.08910,78.70,497.80,
236,59.17290,-10.83,59.18250,-40.47,59.19150,17.34,0.10170,29.64,8.44,
237,59.28030,22.19,59.28420,-32.81,59.29590,15.00,0.00000,55.00,477.19,
238,59.77590,29.64,59.28420,-32.81,59.79270,16.25,0.54660,62.45,587.44,
239,59.82090,-5.99,59.83080,-35.16,59.84070,22.34,0.21960,29.17,0.00,
240,60.04740,21.41,60.05040,-28.28,60.05640,26.41,0.03690,49.69,187.50,
241,60.07860,35.99,60.08730,-35.31,60.09450,17.97,0.32370,71.30,675.98,
242,60.40110,24.53,60.41100,-27.97,60.41700,25.78,0.28800,52.50,341.20,
243,60.68910,10.52,60.69900,-46.72,60.71190,25.16,0.40530,57.24,291.87,
244,61.10010,21.72,61.10430,-38.44,61.11300,25.63,0.26490,60.16,324.05,
245,61.36470,20.57,61.36920,-22.97,61.38360,23.91,0.03600,43.54,215.52,
246,61.40070,15.68,61.40520,-42.50,61.41090,15.16,0.38010,58.18,243.78,
247,61.78080,17.71,61.78530,-42.03,61.79640,14.38,0.25710,59.74,421.48,
248,62.03730,32.19,62.04240,-25.94,62.05290,29.53,0.05970,58.13,488.72,
249,62.09730,32.92,62.10210,-62.66,62.11530,21.09,0.80280,95.57,817.77,
250,62.90100,21.35,62.90490,-43.59,62.91420,20.78,0.00000,64.95,384.00,
251,63.77970,25.68,62.90490,-43.59,63.79590,33.75,1.05210,69.27,125.78,
