NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area
26160,384.7911,-226.27,384.7965,-246.31,384.8067,-226.27,0.0528,20.04,115.29
26161,384.8445,-223.06,384.8493,-233.06,384.8616,-223.06,0.0258,10.01,104.76
26162,384.8697,-222.29,384.8751,-244.69,384.888,-222.29,0.0183,22.39,224.9
26163,384.8883,-231.22,384.8934,-239.37,384.9009,-231.22,0.0159,8.16,35.71
26164,384.9057,-229.9,384.9093,-240,384.9186,-229.9,0.0246,10.1,39.52
26165,384.9285,-229.38,384.9339,-246.31,384.942,-229.38,0.0123,16.94,83.77
26166,384.9438,-225.57,384.9462,-241.63,384.9591,-225.57,0.0306,16.05,108.49
26167,384.9711,-229.54,384.9768,-268.5,384.9873,-229.54,0.0174,38.96,238.68
26168,384.9885,-230.43,384.9942,-252.19,385.0047,-230.43,0.0129,21.76,167.34
26169,385.0047,-234.42,385.0071,-240.62,385.0134,-234.42,0.0258,6.2,23.99
26170,385.0275,-237.8,385.0329,-261.44,385.0404,-237.8,0.0132,23.64,102.9
26171,385.0425,-229.21,385.0461,-250.13,385.0425,-229.21,0.0018,20.92,0.35
26172,385.0425,-229.88,385.0479,-250.25,385.0608,-229.88,0.0405,20.37,180
26173,385.0848,-222.65,385.0884,-248.31,385.0974,-222.65,0.0135,25.66,116.27
26174,385.098,-229.43,385.1019,-261.25,385.1148,-229.43,0.018,31.82,177
26175,385.1163,-229.06,385.1199,-285.63,385.1223,-229.06,0.0054,56.57,149.91
26176,385.1223,-255.61,385.1253,-283.63,385.131,-255.61,0.0072,28.01,39.96
26177,385.131,-240.18,385.1325,-244.81,385.1376,-240.18,0.045,4.64,52.79
26178,385.1727,-231.14,385.1775,-248.88,385.1868,-231.14,0.015,17.74,16.47
26179,385.1871,-223.79,385.1925,-241.06,385.2024,-223.79,0.0123,17.27,150.55
26180,385.2024,-233.29,385.2048,-262.69,385.2141,-233.29,0.045,29.4,123.2
26181,385.2447,-224.55,385.2498,-237.38,385.2627,-224.55,0.0288,12.83,117.88
26182,385.2735,-236.63,385.2786,-246,385.2876,-236.63,0.0204,9.37,36.03
26183,385.2954,-234.92,385.299,-249.69,385.2987,-234.92,0.0024,14.76,8.94
26184,385.2987,-243.99,385.3014,-253.37,385.3065,-243.99,0.0078,9.38,10.02
26185,385.3065,-238.2,385.3092,-249.5,385.3149,-238.2,0.0267,11.3,36.38
26186,385.3305,-229.95,385.3359,-244.44,385.3383,-229.95,0.0048,14.49,37.65
26187,385.3383,-237.89,385.3407,-262,385.3458,-237.89,0.018,24.11,69.15
26188,385.3548,-232.6,385.3587,-246.31,385.3593,-232.6,0.006,13.71,22.62
26189,385.3593,-240.04,385.3647,-272.31,385.3701,-240.04,0.0243,32.27,106.73
26190,385.3836,-234.37,385.389,-264.19,385.3995,-234.37,0.0144,29.82,203.23
26191,385.3995,-238.82,385.4034,-255.75,385.4154,-238.82,0.0732,16.93,107.03
26192,385.473,-226.24,385.4766,-237.69,385.4817,-226.24,0.0132,11.45,48.12
26193,385.4877,-217.85,385.4898,-221.94,385.4964,-217.85,0.0417,4.09,29.26
26194,385.5261,-225.29,385.5315,-240.75,385.5384,-225.29,0.0093,15.46,94.29
26195,385.5384,-230.69,385.5408,-237.88,385.5444,-230.69,0.0063,7.18,0
26196,385.5444,-225.5,385.5471,-234.06,385.5516,-225.5,0.006,8.56,35.63
26197,385.5516,-229.65,385.5531,-236.31,385.5573,-229.65,0.0078,6.67,2.87
26198,385.5573,-225.09,385.5609,-229.75,385.5675,-225.09,0.0138,4.66,21.74
26199,385.5696,-227.28,385.5747,-237.19,385.5708,-227.28,0.0018,9.9,0
26200,385.5708,-227.29,385.5765,-238,385.5834,-227.29,0.0249,10.71,38
26201,385.5957,-231.08,385.6014,-245.94,385.6077,-231.08,0.0105,14.86,69.57
26202,385.6095,-233.6,385.6119,-256.5,385.6206,-233.6,0.0282,22.9,90.39
26203,385.6377,-235.22,385.6401,-239.94,385.6434,-235.22,0.0078,4.72,2.41
26204,385.6434,-231.67,385.6479,-240.06,385.6515,-231.67,0.0063,8.39,16.51
26205,385.6515,-234.1,385.6542,-238.88,385.6578,-234.1,0.0072,4.77,4.3
26206,385.6578,-232.7,385.6614,-249.81,385.6686,-232.7,0.0099,17.12,48.97
26207,385.6698,-231.81,385.6713,-239.13,385.6686,-231.81,0.0027,7.32,0
26208,385.6686,-230.01,385.674,-242,385.683,-230.01,0.0117,11.99,80.48
26209,385.683,-233.64,385.6857,-239,385.689,-233.64,0.0084,5.36,1.32
26210,385.689,-230.46,385.6941,-237.44,385.6998,-230.46,0.0114,6.97,8.51
26211,385.7022,-229.99,385.7055,-243.63,385.7124,-229.99,0.0297,13.63,41.73
26212,385.7316,-238.13,385.7352,-271.06,385.7454,-238.13,0.039,32.93,130.37
26213,385.7694,-223.09,385.7742,-235.69,385.782,-223.09,0.0126,12.6,87.62
26214,385.782,-226,385.7868,-234.63,385.7916,-226,0.0099,8.62,0
26215,385.7916,-218.7,385.7967,-228.13,385.809,-218.7,0.0237,9.43,101.64
26216,385.8147,-212.99,385.8204,-221.94,385.8198,-212.99,0.0048,8.95,15.15
