ID,date,cell,rep,power,stimul,frame,time,mask,int,delta,rel
cell4_01_17_03,17_03,cell4_17_03,1,10,21,47,26.0,up,475.384,0.04285608650203852,0.04105008009713855
cell4_01_17_03,17_03,cell4_17_03,1,10,21,47,26.0,down,584.683,-0.046165652253566544,-0.01204412587549079
cell4_01_17_03,17_03,cell4_17_03,1,10,21,48,27.0,cell,592.656,-0.03840094340081854,592.656
cell4_01_17_03,17_03,cell4_17_03,1,10,21,48,27.0,up,468.526,0.031455009314003406,0.030155471061730256
cell4_01_17_03,17_03,cell4_17_03,1,10,21,48,27.0,down,581.808,-0.050855841210267864,-0.012950834888921259
cell4_01_17_03,17_03,cell4_17_03,1,10,21,49,28.0,cell,593.194,-0.03752802505957105,593.194
cell4_01_17_03,17_03,cell4_17_03,1,10,21,49,28.0,up,464.657,0.02490584867682411,0.02072205113949146
cell4_01_17_03,17_03,cell4_17_03,1,10,21,49,28.0,down,585.832,-0.04429120804095791,-0.007025436963333704
cell4_01_17_03,17_03,cell4_17_03,1,10,21,50,29.0,cell,593.425,-0.03715322183126592,593.425
cell4_01_17_03,17_03,cell4_17_03,1,10,21,50,29.0,up,459.903,0.01688503180688377,0.00988556992863976
cell4_01_17_03,17_03,cell4_17_03,1,10,21,50,29.0,down,584.711,-0.04611997389155342,-0.009311302840581504
cell4_01_17_03,17_03,cell4_17_03,1,10,21,51,30.0,cell,596.876,-0.0315538887538588,596.876
cell4_01_17_03,17_03,cell4_17_03,1,10,21,51,30.0,up,475.557,0.04301395934834036,0.03822199377358399
cell4_01_17_03,17_03,cell4_17_03,1,10,21,51,30.0,down,585.378,-0.045031850053598665,-0.013915658737478253
cell4_01_17_03,17_03,cell4_17_03,1,10,21,52,31.0,cell,591.178,-0.04079903505205221,591.178
cell4_01_17_03,17_03,cell4_17_03,1,10,21,52,31.0,up,473.696,0.04027890077100298,0.04412673519542846
cell4_01_17_03,17_03,cell4_17_03,1,10,21,52,31.0,down,578.011,-0.05705015337325743,-0.016940913082942294
cell4_01_17_03,17_03,cell4_17_03,1,10,21,53,32.0,cell,595.986,-0.03299793582395217,595.986
cell4_01_17_03,17_03,cell4_17_03,1,10,21,53,32.0,up,467.924,0.03026916739654958,0.023083370184998005
cell4_01_17_03,17_03,cell4_17_03,1,10,21,53,32.0,down,580.591,-0.0528412185877654,-0.020518982536307233
cell4_01_17_03,17_03,cell4_17_03,1,10,21,54,33.0,cell,595.98,-0.03300767097273927,595.98
cell4_01_17_03,17_03,cell4_17_03,1,10,21,54,33.0,up,484.0,0.05724353166213631,0.05824308283691468
cell4_01_17_03,17_03,cell4_17_03,1,10,21,54,33.0,down,582.884,-0.04910048701290761,-0.01664069692545555
cell4_01_17_03,17_03,cell4_17_03,1,10,21,55,34.0,cell,598.571,-0.02880370922148983,598.571
cell4_01_17_03,17_03,cell4_17_03,1,10,21,55,34.0,up,486.689,0.06148811085067602,0.05951624810308539
cell4_01_17_03,17_03,cell4_17_03,1,10,21,55,34.0,down,588.654,-0.03968748169806709,-0.011205117913830165
cell4_01_17_03,17_03,cell4_17_03,1,10,21,56,35.0,cell,595.98,-0.03300767097273927,595.98
cell4_01_17_03,17_03,cell4_17_03,1,10,21,56,35.0,up,480.754,0.05179871807778784,0.051145857533425765
cell4_01_17_03,17_03,cell4_17_03,1,10,21,56,35.0,down,585.183,-0.04534996721761849,-0.012762149842728445
cell4_01_17_03,17_03,cell4_17_03,1,10,21,57,36.0,cell,591.815,-0.03976548675581673,591.815
cell4_01_17_03,17_03,cell4_17_03,1,10,21,57,36.0,up,463.298,0.022665866867179776,0.020108155245847765
cell4_01_17_03,17_03,cell4_17_03,1,10,21,57,36.0,down,588.703,-0.03960754456454421,0.00016594470083548623
cell4_01_17_03,17_03,cell4_17_03,1,10,21,58,37.0,cell,591.31,-0.04058486177873507,591.31
cell4_01_17_03,17_03,cell4_17_03,1,10,21,58,37.0,up,474.785,0.04211327391723462,0.04629350325972613
cell4_01_17_03,17_03,cell4_17_03,1,10,21,58,37.0,down,583.59,-0.04794873974214893,-0.0076739319854498885
cell4_01_17_03,17_03,cell4_17_03,1,10,21,59,38.0,cell,592.274,-0.03902074787360011,592.274
cell4_01_17_03,17_03,cell4_17_03,1,10,21,59,38.0,up,490.927,0.06929900687857309,0.08010508966106715
cell4_01_17_03,17_03,cell4_17_03,1,10,21,59,38.0,down,584.078,-0.04715263114706372,-0.008460630804512387
cell4_01_17_03,17_03,cell4_17_03,1,10,21,60,39.0,cell,587.527,-0.046722873089030774,587.527
