ID,power,ch,frame,time,mask,mask_region,mean,delta,rel
cell4_02_2_2022,3,fp,12,22.0,up,4,591.271,0.10084437582990954,0.017645106763211613
cell4_02_2_2022,3,fp,12,22.0,up,5,500.895,0.09140386137267678,0.008187621662834052
cell4_02_2_2022,3,fp,13,24.0,up,1,625.704,0.10131273103745898,0.0020744673713631325
cell4_02_2_2022,3,fp,13,24.0,up,2,425.225,0.11127633507349888,0.00999673166769328
cell4_02_2_2022,3,fp,13,24.0,up,3,663.644,0.0585794601347478,0.00380043801283081
cell4_02_2_2022,3,fp,13,24.0,up,4,600.836,0.11865275211559435,0.018018712831528456
cell4_02_2_2022,3,fp,13,24.0,up,5,493.489,0.07526687258794934,0.008106221993516455
cell4_02_2_2022,3,fp,14,26.0,up,1,691.656,0.21739601840238312,0.0022981078417455936
cell4_02_2_2022,3,fp,14,26.0,up,2,405.959,0.06092687332612737,0.009564550553407923
cell4_02_2_2022,3,fp,14,26.0,up,3,627.109,0.0003024312216212184,0.0035990193957429165
cell4_02_2_2022,3,fp,14,26.0,up,4,559.105,0.04095684508183496,0.016803664439877887
cell4_02_2_2022,3,fp,14,26.0,up,5,487.581,0.06239388720580392,0.008026591435034786
cell4_02_2_2022,3,fp,15,28.0,up,1,525.575,-0.07492610145530058,0.0017533369406034663
cell4_02_2_2022,3,fp,15,28.0,up,2,397.268,0.03821395045441518,0.009397594662557473
cell4_02_2_2022,3,fp,15,28.0,up,3,642.376,0.024654843987919308,0.003701526147050143
cell4_02_2_2022,3,fp,15,28.0,up,4,560.503,0.043559679378477684,0.016913724482667942
cell4_02_2_2022,3,fp,15,28.0,up,5,487.848,0.06297565550252579,0.008063424912558305
cell4_02_2_2022,3,fp,16,30.0,up,1,577.59,0.01662642450731659,0.0019226432408818823
cell4_02_2_2022,3,fp,16,30.0,up,2,403.561,0.054659977796687007,0.00952555582068717
cell4_02_2_2022,3,fp,16,30.0,up,3,704.105,0.12311885706519853,0.00404834104712724
cell4_02_2_2022,3,fp,16,30.0,up,4,573.278,0.06734452068005864,0.017261334802195744
cell4_02_2_2022,3,fp,16,30.0,up,5,520.309,0.13370517115754013,0.008581125858906967
cell4_02_2_2022,3,fp,17,32.0,up,1,589.217,0.03709131385399247,0.0019781701853207366
cell4_02_2_2022,3,fp,17,32.0,up,2,395.757,0.03426512679095226,0.009421468948450005
cell4_02_2_2022,3,fp,17,32.0,up,3,683.164,0.08971583906958373,0.003961629774453851
cell4_02_2_2022,3,fp,17,32.0,up,4,567.01,0.05567458836864491,0.01721906956195382
cell4_02_2_2022,3,fp,17,32.0,up,5,497.302,0.08357504680293265,0.008272040342748166
cell4_02_2_2022,3,fp,18,34.0,up,1,647.958,0.1404823919578105,0.0021644432262571834
cell4_02_2_2022,3,fp,18,34.0,up,2,416.206,0.08770622215439042,0.00985846899201584
cell4_02_2_2022,3,fp,18,34.0,up,3,664.486,0.05992253549658855,0.0038339468858488586
cell4_02_2_2022,3,fp,18,34.0,up,4,547.189,0.018771313265816145,0.016533577629230158
cell4_02_2_2022,3,fp,18,34.0,up,5,489.097,0.06569711094299623,0.008094642751209156
cell4_02_2_2022,3,fp,19,36.0,up,1,532.797,-0.06221453089869154,0.001790613916798125
cell4_02_2_2022,3,fp,19,36.0,up,2,420.86,0.09986891264397137,0.010029515722928043
cell4_02_2_2022,3,fp,19,36.0,up,3,717.997,0.1452780054341913,0.004167967243887025
cell4_02_2_2022,3,fp,19,36.0,up,4,573.337,0.06745436847941617,0.017429343040272084
cell4_02_2_2022,3,fp,19,36.0,up,5,504.728,0.09975561373722723,0.008404300759146268
cell4_02_2_2022,3,fp,20,38.0,up,1,607.542,0.06934547204422536,0.0020411688646989824
cell4_02_2_2022,3,fp,20,38.0,up,2,404.592,0.05735437700054563,0.00963877411221931
cell4_02_2_2022,3,fp,20,38.0,up,3,630.593,0.005859764429047761,0.003659424477137457
cell4_02_2_2022,3,fp,20,38.0,up,4,572.074,0.06510288084232048,0.017385425161803945
cell4_02_2_2022,3,fp,20,38.0,up,5,473.728,0.032209481908095416,0.007885613736940312
cell4_02_2_2022,3,fp,21,40.0,up,1,541.313,-0.04722536794381997,0.0018235130705328262
cell4_02_2_2022,3,fp,21,40.0,up,2,387.025,0.011445055163315548,0.009244875019201413
cell4_02_2_2022,3,fp,21,40.0,up,3,664.502,0.05994805711866622,0.003866496303975181
cell4_02_2_2022,3,fp,21,40.0,up,4,557.147,0.03731138760484906,0.016976977834828405
cell4_02_2_2022,3,fp,21,40.0,up,5,459.96,0.0022102837460473887,0.00767688072075665
cell4_02_2_2022,3,fp,22,42.0,up,1,685.816,0.20711693060806077,0.002322342701705437
cell4_02_2_2022,3,fp,22,42.0,up,2,398.007,0.04014524144534787,0.009556778271176597
cell4_02_2_2022,3,fp,22,42.0,up,3,623.436,-0.005556376146598686,0.00364645995185292
cell4_02_2_2022,3,fp,22,42.0,up,4,585.735,0.09053730096137326,0.01794116039827373
cell4_02_2_2022,3,fp,22,42.0,up,5,480.734,0.04747490770147914,0.008065420898737984
cell4_02_2_2022,3,fp,23,44.0,up,1,545.413,-0.040008885074518184,0.0018462033373031052
cell4_02_2_2022,3,fp,23,44.0,up,2,383.029,0.0010019715371089976,0.009193658962446007
cell4_02_2_2022,3,fp,23,44.0,up,3,599.299,-0.04405733815224097,0.003503956189441171
cell4_02_2_2022,3,fp,23,44.0,up,4,561.243,0.04493743143821703,0.017184457985185423
cell4_02_2_2022,3,fp,23,44.0,up,5,461.234,0.004986211873476872,0.007735349428890901
cell4_02_2_2022,3,fp,24,46.0,up,1,647.909,0.14039614618693352,0.002196941961563307
cell4_02_2_2022,3,fp,24,46.0,up,2,415.98,0.08711559730466002,0.010001805140367366
cell4_02_2_2022,3,fp,24,46.0,up,3,697.71,0.1129181837410041,0.004086397170363811
cell4_02_2_2022,3,fp,24,46.0,up,4,553.627,0.03075775618554829,0.016980559380601355
cell4_02_2_2022,3,fp,24,46.0,up,5,461.693,0.005986330406043702,0.007756431820460059
cell4_02_2_2022,3,fp,25,48.0,up,1,565.657,-0.00437706087789749,0.0019170489249597119
cell4_02_2_2022,3,fp,25,48.0,up,2,396.203,0.03543069618466794,0.009521385670534128
cell4_02_2_2022,3,fp,25,48.0,up,3,610.903,-0.025547781740364033,0.0035761308620703165
cell4_02_2_2022,3,fp,25,48.0,up,4,593.526,0.10504279595789898,0.01819491200404385
cell4_02_2_2022,3,fp,25,48.0,up,5,472.741,0.03005890022695494,0.007937930606130206
cell4_02_2_2022,3,fp,26,50.0,up,1,634.025,0.11595867102659559,0.002157584129216267
cell4_02_2_2022,3,fp,26,50.0,up,2,394.846,0.03188433370199475,0.009527766215119603
cell4_02_2_2022,3,fp,26,50.0,up,3,610.275,-0.026549505406915176,0.0035871356107369445
cell4_02_2_2022,3,fp,26,50.0,up,4,578.626,0.07730157205233684,0.017811063948305703
cell4_02_2_2022,3,fp,26,50.0,up,5,466.414,0.016272952611376977,0.00786387802730647
cell4_02_2_2022,3,fp,27,52.0,up,1,672.566,0.18379537011580513,0.0022776892139371907
cell4_02_2_2022,3,fp,27,52.0,up,2,382.08,-0.0014781301549005599,0.009175223575906884
cell4_02_2_2022,3,fp,27,52.0,up,3,596.205,-0.04899258182152276,0.003487515144567443
cell4_02_2_2022,3,fp,27,52.0,up,4,585.216,0.08957101269244797,0.017926967521934015
cell4_02_2_2022,3,fp,27,52.0,up,5,446.317,-0.027516550981205628,0.007488707787510724
cell4_02_2_2022,3,fp,28,54.0,up,1,630.443,0.10965392916370806,0.0021478309330657586
cell4_02_2_2022,3,fp,28,54.0,up,2,399.339,0.043626269320750054,0.00964710960204272
cell4_02_2_2022,3,fp,28,54.0,up,3,552.615,-0.11852305096955044,0.0032519014320703094
cell4_02_2_2022,3,fp,28,54.0,up,4,570.342,0.06187819629168739,0.01757598970313112
cell4_02_2_2022,3,fp,28,54.0,up,5,476.555,0.038369253349416564,0.008043978487862424
cell4_02_2_2022,3,fp,29,56.0,up,1,621.368,0.09368086037372932,0.002123796522291386
cell4_02_2_2022,3,fp,29,56.0,up,2,401.755,0.049940205767425506,0.009737046514550651
cell4_02_2_2022,3,fp,29,56.0,up,3,712.789,0.13697071744788883,0.004208100643991129
cell4_02_2_2022,3,fp,29,56.0,up,4,580.096,0.08003845790073799,0.017934712973543605
cell4_02_2_2022,3,fp,29,56.0,up,5,483.383,0.053246833611652375,0.008185770483755926
cell4_02_2_2022,3,fp,30,58.0,up,1,548.749,-0.034137132183788735,0.0018764003192383925
cell4_02_2_2022,3,fp,30,58.0,up,2,417.047,0.08990407834298898,0.010112028125390088
cell4_02_2_2022,3,fp,30,58.0,up,3,645.86,0.030212177195346034,0.003814614587661224
cell4_02_2_2022,3,fp,30,58.0,up,4,588.012,0.0947766812857332,0.018187298577551175
cell4_02_2_2022,3,fp,30,58.0,up,5,449.157,-0.021328453742665864,0.007609446324212332
cell7_02_2_2022,3,ca,1,0.0,master,1,902.337,0.010389916357074973,1
cell7_02_2_2022,3,ca,2,2.0,master,1,900.765,0.008629672735774589,1
cell7_02_2_2022,3,ca,3,4.0,master,1,892.746,-0.00034958527898862053,1
cell7_02_2_2022,3,ca,4,6.0,master,1,885.136,-0.008870866422815545,1
cell7_02_2_2022,3,ca,5,8.0,master,1,884.307,-0.009799137391045779,1
cell7_02_2_2022,3,ca,6,10.0,master,1,875.036,-0.020180319714885448,1
cell7_02_2_2022,3,ca,7,12.0,master,1,870.216,-0.025577504355259316,1
cell7_02_2_2022,3,ca,8,14.0,master,1,1520.029,0.7020492057516519,1
cell7_02_2_2022,3,ca,9,16.0,master,1,1729.403,0.9364952922441112,1
cell7_02_2_2022,3,ca,10,18.0,master,1,1640.697,0.8371669393999179,1
cell7_02_2_2022,3,ca,11,20.0,master,1,1565.221,0.7526528506204858,1
cell7_02_2_2022,3,ca,12,22.0,master,1,1514.384,0.6957282291344505,1
cell7_02_2_2022,3,ca,13,24.0,master,1,1472.723,0.6490784139264383,1
cell7_02_2_2022,3,ca,14,26.0,master,1,2549.461,1.8547534751934418,1
cell7_02_2_2022,3,ca,15,28.0,master,1,2346.419,1.6273976320916148,1
cell7_02_2_2022,3,ca,16,30.0,master,1,2231.374,1.4985762406078347,1
cell7_02_2_2022,3,ca,17,32.0,master,1,2135.239,1.3909292809807916,1
cell7_02_2_2022,3,ca,18,34.0,master,1,2047.785,1.2930028524456747,1
cell7_02_2_2022,3,ca,19,36.0,master,1,2698.92,2.0221098692112114,1
cell7_02_2_2022,3,ca,20,38.0,master,1,2535.223,1.8388105052951755,1
cell7_02_2_2022,3,ca,21,40.0,master,1,2423.346,1.713536475002413,1
cell7_02_2_2022,3,ca,22,42.0,master,1,2333.555,1.6129931957402102,1
cell7_02_2_2022,3,ca,23,44.0,master,1,2258.328,1.5287579241756024,1
cell7_02_2_2022,3,ca,24,46.0,master,1,2181.936,1.4432181463649292,1
cell7_02_2_2022,3,ca,25,48.0,master,1,2123.389,1.3776602689499968,1
cell7_02_2_2022,3,ca,26,50.0,master,1,2077.448,1.3262179329409884,1
cell7_02_2_2022,3,ca,27,52.0,master,1,2024.767,1.2672284964182623,1
cell7_02_2_2022,3,ca,28,54.0,master,1,1979.973,1.2170705111940072,1
cell7_02_2_2022,3,ca,29,56.0,master,1,1934.627,1.1662944251561655,1
cell7_02_2_2022,3,ca,30,58.0,master,1,1881.455,1.1067551924387458,1
