"","cell","stimul","frame","time","mask","int","delta"
"338","cell11_01",20,13,-7,"up",172.942,-0.0125223327591101
"339","cell11_01",20,13,-7,"down",412.168,-0.000501970294028478
"340","cell11_01",20,14,-6,"cell",358.13,-0.00376789541690942
"341","cell11_01",20,14,-6,"up",169.298,-0.0333291270567694
"342","cell11_01",20,14,-6,"down",411.921,-0.00110093967869053
"343","cell11_01",20,15,-5,"cell",358.809,-0.00187907962652059
"344","cell11_01",20,15,-5,"up",161.752,-0.0764158640957753
"345","cell11_01",20,15,-5,"down",414.7,0.00563807214307363
"346","cell11_01",20,16,-4,"cell",355.233,-0.0118266573384943
"347","cell11_01",20,16,-4,"up",164.667,-0.0597715706331856
"348","cell11_01",20,16,-4,"down",412.378,7.27493179748021e-06
"349","cell11_01",20,17,-3,"cell",357.377,-0.00586256152907833
"350","cell11_01",20,17,-3,"up",148.651,-0.151220971695565
"351","cell11_01",20,17,-3,"down",416.934,0.0110554713549561
"352","cell11_01",20,18,-2,"cell",357.853,-0.00453844324303262
"353","cell11_01",20,18,-2,"up",153.911,-0.121187015052951
"354","cell11_01",20,18,-2,"down",414.79,0.00585632009699914
"355","cell11_01",20,19,-1,"cell",357.595,-0.00525613760815819
"356","cell11_01",20,19,-1,"up",176.174,0.00593199193080076
"357","cell11_01",20,19,-1,"down",410.418,-0.00474568050924521
"358","cell11_01",20,20,0,"cell",333.384,-0.0726053557246556
"359","cell11_01",20,20,0,"up",193.058,0.102337566826981
"360","cell11_01",20,20,0,"down",371.872,-0.0982188541982419
"361","cell11_01",20,21,1,"cell",327.505,-0.0889593292617623
"362","cell11_01",20,21,1,"up",205.287,0.172163661082216
"363","cell11_01",20,21,1,"down",360.854,-0.124937253713246
"364","cell11_01",20,22,2,"cell",314.057,-0.126368452603659
"365","cell11_01",20,22,2,"up",205.205,0.171695451111742
"366","cell11_01",20,22,2,"down",343.296,-0.167515004546832
"367","cell11_01",20,23,3,"cell",310.201,-0.137094923425071
"368","cell11_01",20,23,3,"up",211.539,0.207861816392031
"369","cell11_01",20,23,3,"down",338.698,-0.178665050015156
"370","cell11_01",20,24,4,"cell",311.857,-0.132488327034962
"371","cell11_01",20,24,4,"up",210.244,0.200467524785151
"372","cell11_01",20,24,4,"down",343.061,-0.168084874204304
"373","cell11_01",20,25,5,"cell",307.576,-0.144397046326058
"374","cell11_01",20,25,5,"up",200.105,0.14257507489932
"375","cell11_01",20,25,5,"down",340.637,-0.173963019096696
"376","cell11_01",20,26,6,"cell",312.115,-0.131770632669837
"377","cell11_01",20,26,6,"up",178.694,0.0203208837063499
"378","cell11_01",20,26,6,"down",349.066,-0.153522885722946
"379","cell11_01",20,27,7,"cell",312.526,-0.130627328855625
"380","cell11_01",20,27,7,"up",197.756,0.129162572208541
"381","cell11_01",20,27,7,"down",348.392,-0.155157320400121
"382","cell11_01",20,28,8,"cell",310.899,-0.135153254173685
"383","cell11_01",20,28,8,"up",170.671,-0.0254894649901706
"384","cell11_01",20,28,8,"down",350.568,-0.149880569869658
"385","cell11_01",20,29,9,"cell",315.561,-0.122184683901531
"386","cell11_01",20,29,9,"up",183.368,0.0470088520233806
"387","cell11_01",20,29,9,"down",354.3,-0.14083055471355
"388","cell11_01",20,30,10,"cell",317.39,-0.117096842840234
"389","cell11_01",20,30,10,"up",180.961,0.0332651764266557
"390","cell11_01",20,30,10,"down",357.567,-0.132908153986056
"391","cell11_01",20,31,11,"cell",321.135,-0.106679147501492
"392","cell11_01",20,31,11,"up",185.872,0.0613063857559107
"393","cell11_01",20,31,11,"down",363.244,-0.119141558047893
"394","cell11_01",20,32,12,"cell",322.567,-0.102695665598934
"395","cell11_01",20,32,12,"up",191.26,0.0920712067426802
"396","cell11_01",20,32,12,"down",363.902,-0.117545923006972
"397","cell11_01",20,33,13,"cell",322.773,-0.102122622811275
"398","cell11_01",20,33,13,"up",176.047,0.00520683746433453
"399","cell11_01",20,33,13,"down",365.636,-0.113341012428008
"400","cell11_01",20,34,14,"cell",321.603,-0.105377283304287
"401","cell11_01",20,34,14,"up",177.585,0.0139886293495706
"402","cell11_01",20,34,14,"down",363.99,-0.117332525007578
"403","cell11_01",20,35,15,"cell",319.187,-0.112098018134301
"404","cell11_01",20,35,15,"up",174.159,-0.00557341161195004
"405","cell11_01",20,35,15,"down",362.376,-0.121246438314641
"406","cell11_01",20,36,16,"cell",323.642,-0.0997052724109106
"407","cell11_01",20,36,16,"up",175.612,0.00272304066974565
"408","cell11_01",20,36,16,"down",368.21,-0.107099120945741
"409","cell11_01",20,37,17,"cell",323.584,-0.0998666145550085
"410","cell11_01",20,37,17,"up",160.36,-0.0843640138384596
"411","cell11_01",20,37,17,"down",369.356,-0.104320096999091
"412","cell11_01",20,38,18,"cell",324.416,-0.0975521893155337
"413","cell11_01",20,38,18,"up",167.279,-0.044857370110275
