cell,power,stimul,frame,time,mask,int,delta,rel
cell2_01_27_01,20,20,89,69.0,up,187.134,0.08487880667621289,0.8125556332310043
cell2_01_27_01,20,20,89,69.0,down,184.253,-0.011441871045832,0.8000460263218455
cell2_01_27_01,20,20,90,70.0,cell,227.699,0.030995660018971923,227.699
cell2_01_27_01,20,20,90,70.0,up,187.202,0.08527302557205221,0.8221467814966249
cell2_01_27_01,20,20,90,70.0,down,184.793,-0.008544651518143057,0.8115670248881198
cell2_01_27_01,20,20,91,71.0,cell,222.685,0.00829282759838538,222.685
cell2_01_27_01,20,20,91,71.0,up,186.279,0.07992208379470472,0.8365134607180547
cell2_01_27_01,20,20,91,71.0,down,172.193,-0.07614644049754915,0.7732581898197005
cell2_01_27_01,20,20,92,72.0,cell,229.196,0.03777390894869224,229.196
cell2_01_27_01,20,20,92,72.0,up,191.073,0.10771451595137202,0.8336663816122446
cell2_01_27_01,20,20,92,72.0,down,183.867,-0.013512846485994736,0.8022260423393078
cell2_01_27_01,20,20,93,73.0,cell,225.683,0.021867437011412524,225.683
cell2_01_27_01,20,20,93,73.0,up,188.446,0.09248491243122911,0.8350030795407718
cell2_01_27_01,20,20,93,73.0,down,180.385,-0.03219454721824014,0.799284837581918
cell2_01_27_01,20,20,94,74.0,cell,232.538,0.05290611197015222,232.538
cell2_01_27_01,20,20,94,74.0,up,191.758,0.11168569159328214,0.8246308130284082
cell2_01_27_01,20,20,94,74.0,down,182.845,-0.018996102703213186,0.7863015937180159
cell2_01_27_01,20,20,95,75.0,cell,218.512,-0.010602050680654807,218.512
cell2_01_27_01,20,20,95,75.0,up,180.173,0.04452354588302138,0.8245451050743209
cell2_01_27_01,20,20,95,75.0,down,168.61,-0.09537002858589932,0.7716281028044227
cell2_01_27_01,20,20,96,76.0,cell,229.604,0.039621287414507884,229.604
cell2_01_27_01,20,20,96,76.0,up,188.355,0.0919573547912089,0.8203472064946603
cell2_01_27_01,20,20,96,76.0,down,179.617,-0.036315037213175375,0.7822903782164073
cell2_01_27_01,20,20,97,77.0,cell,233.125,0.05556398245896037,233.125
cell2_01_27_01,20,20,97,77.0,up,192.787,0.11765115106120255,0.8269683646112601
cell2_01_27_01,20,20,97,77.0,down,186.935,0.0029476526083559644,0.8018659517426273
cell2_01_27_01,20,20,98,78.0,cell,226.696,0.026454187957175235,226.696
cell2_01_27_01,20,20,98,78.0,up,188.005,0.08992828694497748,0.8293264989236687
cell2_01_27_01,20,20,98,78.0,down,181.727,-0.02499442016979856,0.801633023961605
cell2_01_27_01,20,20,99,79.0,cell,223.777,0.013237281727479936,223.777
cell2_01_27_01,20,20,99,79.0,up,188.199,0.09105297026546015,0.8410113639918313
cell2_01_27_01,20,20,99,79.0,down,173.266,-0.07038955799160461,0.7742797517171113
cell2_01_27_01,20,20,100,80.0,cell,226.548,0.025784060474477448,226.548
cell2_01_27_01,20,20,100,80.0,up,186.923,0.08365556863177061,0.8250922541801295
cell2_01_27_01,20,20,100,80.0,down,178.899,-0.040167266140731954,0.7896737115313311
cell2_01_27_01,20,20,101,81.0,cell,220.293,-0.0025378814462980685,220.293
cell2_01_27_01,20,20,101,81.0,up,183.751,0.06526641660821025,0.8341209207736968
cell2_01_27_01,20,20,101,81.0,down,175.05,-0.0608180031075362,0.7946235241246885
cell2_01_27_01,20,20,102,82.0,cell,224.954,0.018566606370286235,224.954
cell2_01_27_01,20,20,102,82.0,up,185.597,0.07596830016290525,0.8250442312650587
cell2_01_27_01,20,20,102,82.0,down,181.866,-0.02424865440248601,0.8084586182063889
cell2_01_27_01,20,20,103,83.0,cell,223.784,0.013268976946256205,223.784
cell2_01_27_01,20,20,103,83.0,up,181.323,0.05119048309206758,0.8102589997497588
cell2_01_27_01,20,20,103,83.0,down,180.661,-0.030713746126310237,0.8073007900475458
cell2_01_27_01,20,20,104,84.0,cell,230.266,0.04261874953306148,230.266
cell2_01_27_01,20,20,104,84.0,up,190.581,0.10486222629324085,0.827655841505042
cell2_01_27_01,20,20,104,84.0,down,180.589,-0.03110004206333543,0.7842625485308296
cell2_01_27_01,20,20,105,85.0,cell,228.112,0.032865677926770455,228.112
cell2_01_27_01,20,20,105,85.0,up,187.813,0.08881519829790191,0.8233367819316827
cell2_01_27_01,20,20,105,85.0,down,181.218,-0.027725317835712745,0.7944255453461457
cell2_01_27_01,20,20,106,86.0,cell,228.854,0.03622537111705278,228.854
cell2_01_27_01,20,20,106,86.0,up,190.005,0.10152296035201429,0.8302454840203798
cell2_01_27_01,20,20,106,86.0,down,179.384,-0.03756513378715965,0.7838359827663051
cell2_01_27_01,20,20,107,87.0,cell,228.088,0.03275700860525189,228.088
cell2_01_27_01,20,20,107,87.0,up,193.652,0.12266584730974586,0.8490231840342324
